NSample,Dimension,Distribution,prob
40,700,Bernoulli,1.0
40,700,Laplacian,0.9975
40,700,Radamacher,0.995
40,710,Uniform,1.0
40,710,Gaussian,1.0
40,710,GaussianBiased,0.9975
40,710,Bernoulli,1.0
40,710,Laplacian,0.9975
40,710,Radamacher,1.0
40,720,Uniform,0.995
40,720,Gaussian,1.0
40,720,GaussianBiased,1.0
40,720,Bernoulli,1.0
40,720,Laplacian,1.0
40,720,Radamacher,1.0
40,730,Uniform,1.0
40,730,Gaussian,1.0
40,730,GaussianBiased,1.0
40,730,Bernoulli,0.9975
40,730,Laplacian,1.0
40,730,Radamacher,0.9975
40,740,Uniform,1.0
40,740,Gaussian,1.0
40,740,GaussianBiased,1.0
40,740,Bernoulli,1.0
40,740,Laplacian,1.0
40,740,Radamacher,0.9975
40,750,Uniform,1.0
40,750,Gaussian,1.0
40,750,GaussianBiased,1.0
40,750,Bernoulli,1.0
40,750,Laplacian,1.0
40,750,Radamacher,1.0
40,760,Uniform,1.0
40,760,Gaussian,0.9975
40,760,GaussianBiased,1.0
40,760,Bernoulli,0.9975
40,760,Laplacian,0.9975
40,760,Radamacher,1.0
40,770,Uniform,1.0
40,770,Gaussian,1.0
40,770,GaussianBiased,1.0
40,770,Bernoulli,1.0
40,770,Laplacian,1.0
40,770,Radamacher,1.0
40,780,Uniform,1.0
40,780,Gaussian,1.0
40,780,GaussianBiased,1.0
40,780,Bernoulli,1.0
40,780,Laplacian,1.0
40,780,Radamacher,1.0
40,790,Uniform,1.0
40,790,Gaussian,0.9975
40,790,GaussianBiased,1.0
40,790,Bernoulli,1.0
40,790,Laplacian,1.0
40,790,Radamacher,1.0
40,800,Uniform,1.0
40,800,Gaussian,1.0
40,800,GaussianBiased,1.0
40,800,Bernoulli,1.0
40,800,Laplacian,0.9975
40,800,Radamacher,1.0
40,810,Uniform,1.0
40,810,Gaussian,1.0
40,810,GaussianBiased,1.0
40,810,Bernoulli,1.0
40,810,Laplacian,1.0
40,810,Radamacher,1.0
40,820,Uniform,1.0
40,820,Gaussian,1.0
40,820,GaussianBiased,1.0
40,820,Bernoulli,1.0
40,820,Laplacian,0.9975
40,820,Radamacher,1.0
40,830,Uniform,1.0
40,830,Gaussian,1.0
40,830,GaussianBiased,0.9975
40,830,Bernoulli,1.0
40,830,Laplacian,1.0
40,830,Radamacher,1.0
40,840,Uniform,1.0
40,840,Gaussian,1.0
40,840,GaussianBiased,1.0
40,840,Bernoulli,1.0
40,840,Laplacian,1.0
40,840,Radamacher,1.0
40,850,Uniform,1.0
40,850,Gaussian,1.0
40,850,GaussianBiased,1.0
40,850,Bernoulli,1.0
40,850,Laplacian,1.0
40,850,Radamacher,1.0
40,860,Uniform,1.0
40,860,Gaussian,1.0
40,860,GaussianBiased,1.0
40,860,Bernoulli,1.0
40,860,Laplacian,1.0
40,860,Radamacher,1.0
40,870,Uniform,1.0
40,870,Gaussian,1.0
40,870,GaussianBiased,1.0
40,870,Bernoulli,1.0
40,870,Laplacian,1.0
40,870,Radamacher,1.0
40,880,Uniform,1.0
40,880,Gaussian,1.0
40,880,GaussianBiased,1.0
40,880,Bernoulli,1.0
40,880,Laplacian,1.0
40,880,Radamacher,1.0
40,890,Uniform,1.0
40,890,Gaussian,1.0
40,890,GaussianBiased,1.0
40,890,Bernoulli,1.0
40,890,Laplacian,1.0
40,890,Radamacher,1.0
40,900,Uniform,1.0
40,900,Gaussian,1.0
40,900,GaussianBiased,1.0
40,900,Bernoulli,1.0
40,900,Laplacian,1.0
40,900,Radamacher,1.0
40,910,Uniform,1.0
40,910,Gaussian,1.0
40,910,GaussianBiased,1.0
40,910,Bernoulli,1.0
40,910,Laplacian,1.0
40,910,Radamacher,1.0
40,920,Uniform,0.9975
40,920,Gaussian,1.0
40,920,GaussianBiased,1.0
40,920,Bernoulli,1.0
40,920,Laplacian,1.0
40,920,Radamacher,1.0
40,930,Uniform,1.0
40,930,Gaussian,1.0
40,930,GaussianBiased,1.0
40,930,Bernoulli,1.0
40,930,Laplacian,1.0
40,930,Radamacher,0.9975
40,940,Uniform,1.0
40,940,Gaussian,1.0
40,940,GaussianBiased,1.0
40,940,Bernoulli,1.0
40,940,Laplacian,1.0
40,940,Radamacher,1.0
40,950,Uniform,1.0
40,950,Gaussian,1.0
40,950,GaussianBiased,1.0
40,950,Bernoulli,1.0
40,950,Laplacian,1.0
40,950,Radamacher,1.0
40,960,Uniform,1.0
40,960,Gaussian,1.0
40,960,GaussianBiased,1.0
40,960,Bernoulli,1.0
40,960,Laplacian,1.0
40,960,Radamacher,1.0
40,970,Uniform,1.0
40,970,Gaussian,1.0
40,970,GaussianBiased,1.0
40,970,Bernoulli,1.0
40,970,Laplacian,1.0
40,970,Radamacher,1.0
40,980,Uniform,1.0
40,980,Gaussian,1.0
