NSample,Dimension,Distribution,prob
58,330,Gaussian,0.4225
58,340,Gaussian,0.435
58,350,Gaussian,0.5075
58,360,Gaussian,0.5325
58,370,Gaussian,0.5525
58,380,Gaussian,0.5825
58,390,Gaussian,0.6075
58,400,Gaussian,0.635
58,410,Gaussian,0.68
58,420,Gaussian,0.73
58,430,Gaussian,0.73
58,440,Gaussian,0.75
58,450,Gaussian,0.7775
58,460,Gaussian,0.7925
58,470,Gaussian,0.8325
58,480,Gaussian,0.8
58,490,Gaussian,0.8625
58,500,Gaussian,0.815
58,510,Gaussian,0.865
58,520,Gaussian,0.8825
58,530,Gaussian,0.8975
58,540,Gaussian,0.885
58,550,Gaussian,0.8875
58,560,Gaussian,0.925
58,570,Gaussian,0.915
58,580,Gaussian,0.95
58,590,Gaussian,0.915
58,600,Gaussian,0.9425
58,610,Gaussian,0.9525
58,620,Gaussian,0.94
58,630,Gaussian,0.96
58,640,Gaussian,0.9575
58,650,Gaussian,0.9375
58,660,Gaussian,0.9625
58,670,Gaussian,0.97
58,680,Gaussian,0.965
58,690,Gaussian,0.965
58,700,Gaussian,0.9675
58,710,Gaussian,0.98
58,720,Gaussian,0.9825
58,730,Gaussian,0.99
58,740,Gaussian,0.9775
58,750,Gaussian,0.9725
58,760,Gaussian,0.9725
58,770,Gaussian,0.9825
58,780,Gaussian,0.995
58,790,Gaussian,0.995
58,800,Gaussian,0.9925
58,810,Gaussian,0.9925
58,820,Gaussian,0.995
58,830,Gaussian,0.9875
58,840,Gaussian,0.99
58,850,Gaussian,0.995
58,860,Gaussian,0.9975
58,870,Gaussian,0.9975
58,880,Gaussian,0.9975
58,890,Gaussian,0.9925
58,900,Gaussian,1.0
58,910,Gaussian,0.995
58,920,Gaussian,0.9975
58,930,Gaussian,0.995
58,940,Gaussian,0.9975
58,950,Gaussian,0.995
58,960,Gaussian,1.0
58,970,Gaussian,0.9975
58,980,Gaussian,1.0
58,990,Gaussian,0.9975
60,100,Gaussian,0.0
60,110,Gaussian,0.0
60,120,Gaussian,0.0
60,130,Gaussian,0.0
60,140,Gaussian,0.0
60,150,Gaussian,0.0
60,160,Gaussian,0.0
60,170,Gaussian,0.005
60,180,Gaussian,0.0175
60,190,Gaussian,0.005
60,200,Gaussian,0.0125
60,210,Gaussian,0.02
60,220,Gaussian,0.04
60,230,Gaussian,0.07
60,240,Gaussian,0.0675
60,250,Gaussian,0.085
60,260,Gaussian,0.1225
60,270,Gaussian,0.1475
60,280,Gaussian,0.175
60,290,Gaussian,0.2025
60,300,Gaussian,0.24
60,310,Gaussian,0.2975
60,320,Gaussian,0.335
60,330,Gaussian,0.38
60,340,Gaussian,0.3825
60,350,Gaussian,0.4275
60,360,Gaussian,0.495
60,370,Gaussian,0.4925
60,380,Gaussian,0.55
60,390,Gaussian,0.6
60,400,Gaussian,0.5825
60,410,Gaussian,0.6125
60,420,Gaussian,0.6175
60,430,Gaussian,0.645
60,440,Gaussian,0.735
60,450,Gaussian,0.7375
60,460,Gaussian,0.7425
60,470,Gaussian,0.7575
60,480,Gaussian,0.805
60,490,Gaussian,0.8275
60,500,Gaussian,0.795
60,510,Gaussian,0.855
60,520,Gaussian,0.8475
60,530,Gaussian,0.865
60,540,Gaussian,0.8775
60,550,Gaussian,0.885
60,560,Gaussian,0.895
60,570,Gaussian,0.9075
60,580,Gaussian,0.9225
60,590,Gaussian,0.925
60,600,Gaussian,0.92
60,610,Gaussian,0.94
60,620,Gaussian,0.9375
60,630,Gaussian,0.935
60,640,Gaussian,0.9325
60,650,Gaussian,0.9575
60,660,Gaussian,0.95
60,670,Gaussian,0.9625
60,680,Gaussian,0.95
60,690,Gaussian,0.97
60,700,Gaussian,0.98
60,710,Gaussian,0.9625
60,720,Gaussian,0.98
60,730,Gaussian,0.97
60,740,Gaussian,0.98
60,750,Gaussian,0.9825
